Easting,Northing,Elevation,Code,source,Point_ID
641847.937,4241300.104,4.68,BANKBED,Nichols 2015,771_770_stk77
641847.707,4241300.298,4.674,BANKBED,Nichols 2015,771_770_stk78
641847.525,4241300.551,4.691,BANKBED,Nichols 2015,771_770_stk79
641847.272,4241300.801,4.693,BANKBED,Nichols 2015,771_770_stk80
641847.094,4241301.038,4.693,BANKBED,Nichols 2015,771_770_stk81
641846.884,4241301.212,4.615,BANKBED,Nichols 2015,771_770_stk82
641846.648,4241301.489,4.688,BANKBED,Nichols 2015,771_770_stk83
641846.503,4241301.698,4.769,BANKBED,Nichols 2015,771_770_stk84
641846.279,4241301.901,4.776,BANKBED,Nichols 2015,771_770_stk85
641846.011,4241302.208,4.752,BANKBED,Nichols 2015,771_770_stk86
641845.737,4241302.526,4.806,BANKBED,Nichols 2015,771_770_stk87
641845.416,4241302.874,4.832,BANKBED,Nichols 2015,771_770_stk88
641845.140,4241303.153,4.864,BANKBED,Nichols 2015,771_770_stk89
641844.923,4241303.445,4.876,BANKBED,Nichols 2015,771_770_stk90
641844.679,4241303.688,4.82,BANKBED,Nichols 2015,771_770_stk91
641844.383,4241304.018,4.802,BANKBED,Nichols 2015,771_770_stk92
641844.060,4241304.308,4.867,BANKBED,Nichols 2015,771_770_stk93
641843.881,4241304.516,4.962,BANKBED,Nichols 2015,771_770_stk94
641843.744,4241304.658,5.067,BANKBED,Nichols 2015,771_770_stk95
641843.519,4241304.931,5.112,BANKBED,Nichols 2015,771_770_stk96
641843.342,4241305.139,5.164,BANKTOE,Nichols 2015,771_770_stk97
641843.185,4241305.351,5.254,BANKSLOPE,Nichols 2015,771_770_stk98
641842.946,4241305.520,5.394,BANKSLOPE,Nichols 2015,771_770_stk99
641842.828,4241305.707,5.508,BANKSLOPE,Nichols 2015,771_770_stk100
641842.819,4241305.699,5.501,BANKSLOPE,Nichols 2015,771_770_stk101
641842.591,4241305.992,6.14,BANKSLOPE,Nichols 2015,771_770_stk102
